"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Mar 16 00:47:49 UTC 2026","Mon Mar 16 00:47:50 UTC 2026","1035","Surefire suite","Surefire test","BookingTests","BookingTests","createBookingForOneProduct","createBookingForOneProduct",""
"passed","Mon Mar 16 00:47:48 UTC 2026","Mon Mar 16 00:47:48 UTC 2026","256","Surefire suite","Surefire test","CartTests","CartTests","addAndRemoveProductFromCart","addAndRemoveProductFromCart",""
"failed","Mon Mar 16 00:47:47 UTC 2026","Mon Mar 16 00:47:47 UTC 2026","333","Surefire suite","Surefire test","CheckoutTests","CheckoutTests","checkoutWithInvalidData","checkoutWithInvalidData",""
"passed","Mon Mar 16 00:47:54 UTC 2026","Mon Mar 16 00:47:55 UTC 2026","126","Surefire suite","Surefire test","FilterTests","FilterTests","sortProductsByNameZtoA","sortProductsByNameZtoA",""
"failed","Mon Mar 16 00:47:43 UTC 2026","Mon Mar 16 00:47:44 UTC 2026","454","Surefire suite","Surefire test","CheckoutTests","CheckoutTests","checkoutWithInvalidData","checkoutWithInvalidData",""
"passed","Mon Mar 16 00:47:41 UTC 2026","Mon Mar 16 00:47:42 UTC 2026","728","Surefire suite","Surefire test","LoginTests","LoginTests","validLogin","validLogin",""
"passed","Mon Mar 16 00:47:52 UTC 2026","Mon Mar 16 00:47:52 UTC 2026","127","Surefire suite","Surefire test","FilterTests","FilterTests","filterByPriceLowToHigh","filterByPriceLowToHigh",""
"passed","Mon Mar 16 00:47:51 UTC 2026","Mon Mar 16 00:47:51 UTC 2026","143","Surefire suite","Surefire test","FilterTests","FilterTests","filterByPriceHighToLow","filterByPriceHighToLow",""
"failed","Mon Mar 16 00:47:45 UTC 2026","Mon Mar 16 00:47:45 UTC 2026","457","Surefire suite","Surefire test","CheckoutTests","CheckoutTests","checkoutWithInvalidData","checkoutWithInvalidData",""
"passed","Mon Mar 16 00:47:39 UTC 2026","Mon Mar 16 00:47:39 UTC 2026","839","Surefire suite","Surefire test","LoginTests","LoginTests","invalidLogin","invalidLogin",""
"passed","Mon Mar 16 00:47:55 UTC 2026","Mon Mar 16 00:47:57 UTC 2026","2094","Surefire suite","Surefire test","EndToEndTests","EndToEndTests","fullEndtoEndFlow","fullEndtoEndFlow",""
"passed","Mon Mar 16 00:47:53 UTC 2026","Mon Mar 16 00:47:54 UTC 2026","110","Surefire suite","Surefire test","FilterTests","FilterTests","sortByNameAToZ","sortByNameAToZ",""
"passed","Mon Mar 16 00:47:40 UTC 2026","Mon Mar 16 00:47:40 UTC 2026","431","Surefire suite","Surefire test","LoginTests","LoginTests","lockedLogin","lockedLogin",""
